nome_cientifico;nome_popular;categoria;reino;filo;classe;ordem;familia;genero;biomas;estados
panthera onca;onça-pintada;VU;Animalia;Chordata;Mammalia;Carnivora;Felidae;Panthera;Amazônia,Mata Atlântica;AC,AM,AP,MT,MS,PA,RO,RR,TO,MA,PI,BA,MG,SP,PR,SC,RS
puma concolor;puma;VU;Animalia;Chordata;Mammalia;Carnivora;Felidae;Puma;Amazônia,Cerrado,Mata Atlântica,Pampa;AC,AM,AP,MT,MS,PA,RO,RR,TO,MA,PI,BA,MG,SP,PR,SC,RS
 Leopardus pardalis;gato-do-mato;VU;Animalia;Chordata;Mammalia;Carnivora;Felidae;Leopardus;Amazônia,Mata Atlântica,Cerrado,Caatinga;AC,AM,AP,MT,MS,PA,RO,RR,TO,MA,PI,BA,MG,SP,PR,SC,RS
leopardus tigrinus;gato-do-mato-pequeno;VU;Animalia;Chordata;Mammalia;Carnivora;Felidae;Leopardus;Cerrado,Mata Atlântica,Caatinga;BA,MG,SP,PR,SC,RS,GO,TO,MA,PI
leopardus colocolo;gato-palheiro;VU;Animalia;Chordata;Mammalia;Carnivora;Felidae;Leopardus;Cerrado,Pampa;RS,SC,PR,SP,MG,GO,MT,MS
pterodura brasiliensis;mico-leão-dourado;CR;Animalia;Chordata;Mammalia;Primates;Callitrichidae;Pterodura;Mata Atlântica;RJ
brachyteles arachnoides;muriqui-do-sul;CR;Animalia;Chordata;Mammalia;Primates;Atelidae;Brachyteles;Mata Atlântica;SP,RJ,MG
brachyteles hypoxanthus;muriqui-do-norte;CR;Animalia;Chordata;Mammalia;Primates;Atelidae;Brachyteles;Mata Atlântica;MG,ES,BA
sapajus xanthosternos;macaco-prego-de-crista;CR;Animalia;Chordata;Mammalia;Primates;Cebidae;Sapajus;Mata Atlântica;BA,ES
alouatta guariba;bugio-ruivo;VU;Animalia;Chordata;Mammalia;Primates;Atelidae;Alouatta;Mata Atlântica,Cerrado;BA,MG,ES,RJ,SP,PR,SC,RS
myrmecophaga tridactyla;tamanduá-bandeira;VU;Animalia;Chordata;Mammalia;Pilosa;Myrmecophagidae;Myrmecophaga;Cerrado,Amazônia,Mata Atlântica,Pantanal;AC,AM,AP,MT,MS,PA,RO,RR,TO,MA,PI,BA,MG,SP,PR,SC,RS,GO
priodontes maximus;tatu-canastra;VU;Animalia;Chordata;Mammalia;Cingulata;Dasypodidae;Priodontes;Amazônia,Cerrado,Pantanal;AC,AM,AP,MT,MS,PA,RO,RR,TO,GO,MG
tolypeutes tricinctus;tatu-bola;VU;Animalia;Chordata;Mammalia;Cingulata;Dasypodidae;Tolypeutes;Caatinga,Cerrado;BA,PI,MA,PE,CE,RN,PB,AL,SE,GO,TO,MG
speothos venaticus;cachorro-vinagre;VU;Animalia;Chordata;Mammalia;Carnivora;Canidae;Speothos;Amazônia,Cerrado,Pantanal,Mata Atlântica;AC,AM,AP,MT,MS,PA,RO,RR,TO,GO,MG,BA,ES
chytronycteris auritus;morcego-orelhas-tubarão;VU;Animalia;Chordata;Mammalia;Chiroptera;Phyllostomidae;Chytronycteris;Amazônia,Mata Atlântica;AM,AC,RO,PA,MT,BA,MG,SP
inhauma crepitans;ariramba;VU;Animalia;Chordata;Aves;Gruiformes;Aramidae;Inhauma;Amazônia,Pantanal,Cerrado;AC,AM,AP,MT,MS,PA,RO,RR,TO,GO,MG
amazona brasiliensis;papagaio-de-cara-roxa;VU;Animalia;Chordata;Aves;Psittaciformes;Psittacidae;Amazona;Mata Atlântica;SP,PR,SC,RJ,ES,BA
amazona vinacea;papagaio-de-peito-roxo;VU;Animalia;Chordata;Aves;Psittaciformes;Psittacidae;Amazona;Mata Atlântica;SP,PR,SC,RS,RJ,MG,BA,ES
triclaria malachitacea;sabiá-cica;VU;Animalia;Chordata;Aves;Psittaciformes;Psittacidae;Triclaria;Mata Atlântica;SP,RJ,MG,ES,BA,PR
spix's tyrannulet;maracanã-do-cerrado;EN;Animalia;Chordata;Aves;Psittaciformes;Psittacidae;Primolius;Caatinga;BA
primolius maracana;maracanã-verdadeira;VU;Animalia;Chordata;Aves;Psittaciformes;Psittacidae;Primolius;Cerrado,Amazônia,Mata Atlântica;GO,MT,MS,TO,MA,PI,BA,MG,SP,PR
